description,design_thickness,Fy,area,weight,Ix,Sx,Rx,Iy,Ry,Ixe,Sxe,Mal,Mad,Vag,Vanet,J,Cw,Xo,m,Ro,Beta,Lu,notes
162S125-18,0.0188,33,0.08,0.27,0.038,0.046,0.686,0.016,0.447,0.034,0.031,0.61,0.65,302,100,0.009,0.009,-1.029,0.594,1.315,0.388,29,
162S125-27,0.0283,33,0.12,0.41,0.056,0.068,0.682,0.023,0.443,0.055,0.053,1.05,1.14,494,106,0.032,0.013,-1.017,0.587,1.302,0.39,29.1,
162S125-30,0.0312,33,0.131,0.45,0.061,0.075,0.681,0.026,0.441,0.06,0.06,1.19,1.29,543,106,0.043,0.014,-1.014,0.585,1.298,0.39,29.2,
162S125-33,0.0346,33,0.145,0.49,0.067,0.083,0.679,0.028,0.44,0.066,0.069,1.37,1.48,601,105,0.058,0.016,-1.01,0.583,1.294,0.391,29.2,
250S125-18,0.0188,33,0.097,0.33,0.099,0.079,1.014,0.019,0.439,0.089,0.059,1.17,1.03,258,196,0.011,0.023,-0.904,0.543,1.427,0.599,29,
250S125-27,0.0283,33,0.144,0.49,0.147,0.118,1.009,0.027,0.434,0.144,0.097,1.92,1.83,685,344,0.039,0.034,-0.893,0.536,1.416,0.602,28.9,
250S125-30,0.0312,33,0.159,0.54,0.161,0.129,1.008,0.03,0.433,0.159,0.11,2.17,2.09,832,378,0.052,0.037,-0.889,0.534,1.412,0.603,28.9,
250S125-33,0.0346,33,0.176,0.6,0.178,0.142,1.006,0.033,0.431,0.175,0.125,2.48,2.41,975,399,0.07,0.04,-0.885,0.532,1.408,0.605,28.9,
250S125-43,0.0451,33,0.227,0.77,0.228,0.182,1.001,0.041,0.426,0.225,0.177,3.49,3.43,1265,394,0.154,0.05,-0.873,0.525,1.396,0.608,28.9,
250S125-54,0.0566,33,0.28,0.95,0.277,0.222,0.994,0.049,0.419,0.277,0.218,4.98,5.07,1553,373,0.299,0.06,-0.859,0.518,1.379,0.612,26.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S125-54,0.0566,50,0.28,0.95,0.277,0.222,0.994,0.049,0.419,0.274,0.209,6.25,6.17,2353,565,0.299,0.06,-0.859,0.518,1.379,0.612,23.3,
250S125-68,0.0713,33,0.345,1.18,0.334,0.267,0.984,0.057,0.408,0.334,0.266,6.30,6.32,1891,342,0.585,0.072,-0.839,0.508,1.356,0.617,26.5,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S125-68,0.0713,50,0.345,1.18,0.334,0.267,0.984,0.057,0.408,0.334,0.262,7.84,8.01,2866,519,0.585,0.072,-0.839,0.508,1.356,0.617,23.3,
350S125-18,0.0188,33,0.115,0.39,0.215,0.123,1.366,0.021,0.423,0.203,0.072,1.42,1.47,180,159,0.014,0.05,-0.797,0.495,1.637,0.763,28.8,
350S125-27,0.0283,33,0.173,0.59,0.32,0.183,1.361,0.03,0.418,0.315,0.13,2.57,2.65,614,359,0.046,0.072,-0.787,0.489,1.627,0.766,28.7,
350S125-30,0.0312,33,0.19,0.65,0.351,0.201,1.359,0.033,0.417,0.346,0.15,2.96,3.04,824,436,0.062,0.079,-0.784,0.487,1.624,0.767,28.6,
350S125-33,0.0346,33,0.21,0.72,0.387,0.221,1.358,0.036,0.415,0.382,0.175,3.45,3.53,1024,487,0.084,0.087,-0.78,0.485,1.62,0.768,28.6,
350S125-43,0.0451,33,0.272,0.93,0.498,0.284,1.352,0.046,0.41,0.495,0.258,5.1,5.11,1739,631,0.184,0.109,-0.769,0.479,1.609,0.771,28.4,
350S125-54,0.0566,33,0.337,1.15,0.608,0.348,1.344,0.055,0.402,0.608,0.328,6.49,6.87,2253,633,0.36,0.131,-0.755,0.471,1.593,0.775,28.4,
350S125-54,0.0566,50,0.337,1.15,0.608,0.348,1.344,0.055,0.402,0.604,0.308,9.22,9.25,3372,947,0.36,0.131,-0.755,0.471,1.593,0.775,22.9,
350S125-68,0.0713,33,0.417,1.42,0.739,0.422,1.332,0.064,0.391,0.737,0.409,9.67,9.98,2774,592,0.706,0.156,-0.737,0.462,1.571,0.78,25.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
350S125-68,0.0713,50,0.417,1.42,0.739,0.422,1.332,0.064,0.391,0.737,0.4,11.97,12.54,4202,897,0.706,0.156,-0.737,0.462,1.571,0.78,22.8,
362S125-18,0.0188,33,0.118,0.4,0.234,0.129,1.409,0.021,0.421,0.221,0.075,1.48,1.52,173,163,0.014,0.054,-0.786,0.49,1.667,0.778,28.8,
362S125-27,0.0283,33,0.176,0.6,0.347,0.192,1.404,0.031,0.416,0.342,0.135,2.67,2.75,592,370,0.047,0.079,-0.776,0.484,1.657,0.781,28.6,
362S125-30,0.0312,33,0.194,0.66,0.381,0.21,1.402,0.033,0.415,0.376,0.156,3.08,3.17,794,449,0.063,0.086,-0.773,0.482,1.654,0.782,28.6,
362S125-33,0.0346,33,0.215,0.73,0.421,0.232,1.4,0.037,0.413,0.415,0.182,3.59,3.67,1024,521,0.086,0.094,-0.769,0.48,1.65,0.783,28.5,
362S125-43,0.0451,33,0.278,0.95,0.54,0.298,1.395,0.046,0.408,0.537,0.269,5.31,5.33,1739,676,0.188,0.118,-0.758,0.473,1.639,0.786,28.4,
362S125-54,0.0566,33,0.344,1.17,0.661,0.365,1.386,0.055,0.4,0.661,0.343,6.78,7.19,2341,705,0.367,0.142,-0.744,0.466,1.623,0.79,28.3,
362S125-54,0.0566,50,0.344,1.17,0.661,0.365,1.386,0.055,0.4,0.656,0.321,9.62,9.65,3372,1016,0.367,0.142,-0.744,0.466,1.623,0.79,22.8,
362S125-68,0.0713,33,0.426,1.45,0.803,0.443,1.374,0.065,0.389,0.802,0.43,8.51,8.76,2884,662,0.721,0.169,-0.726,0.457,1.602,0.795,28.2,
362S125-68,0.0713,50,0.426,1.45,0.803,0.443,1.374,0.065,0.389,0.802,0.418,12.52,13.11,4370,1004,0.721,0.169,-0.726,0.457,1.602,0.795,22.7,
400S125-18,0.0188,33,0.125,0.42,0.294,0.147,1.536,0.021,0.414,0.281,0.083,1.64,1.68,156,156,0.015,0.068,-0.754,0.475,1.76,0.816,28.7,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
400S125-27,0.0283,33,0.187,0.64,0.438,0.219,1.531,0.031,0.41,0.431,0.151,2.97,3.07,533,398,0.05,0.098,-0.744,0.469,1.751,0.819,28.5,
400S125-30,0.0312,33,0.206,0.7,0.481,0.24,1.529,0.034,0.408,0.474,0.174,3.44,3.53,715,484,0.067,0.107,-0.741,0.467,1.748,0.82,28.5,
400S125-33,0.0346,33,0.228,0.77,0.531,0.265,1.527,0.038,0.407,0.524,0.203,4.01,4.1,976,595,0.091,0.118,-0.738,0.465,1.744,0.821,28.4,
400S125-43,0.0451,33,0.295,1,0.682,0.341,1.521,0.048,0.402,0.68,0.301,5.96,5.99,1739,810,0.2,0.148,-0.727,0.459,1.733,0.824,28.2,
400S125-54,0.0566,33,0.365,1.24,0.835,0.418,1.512,0.057,0.394,0.835,0.387,7.65,8.12,2603,944,0.39,0.178,-0.713,0.451,1.718,0.828,28.1,
400S125-54,0.0566,50,0.365,1.24,0.835,0.418,1.512,0.057,0.394,0.83,0.361,10.81,10.87,3372,1223,0.39,0.178,-0.713,0.451,1.718,0.828,22.7,
400S125-68,0.0713,33,0.452,1.54,1.017,0.509,1.499,0.066,0.383,1.015,0.492,9.72,10.05,3215,895,0.767,0.213,-0.695,0.442,1.696,0.832,28,
400S125-68,0.0713,50,0.452,1.54,1.017,0.509,1.499,0.066,0.383,1.015,0.474,14.18,14.84,4871,1356,0.767,0.213,-0.695,0.442,1.696,0.832,22.5,
550S125-18,0.0188,33,0.153,0.52,0.63,0.229,2.029,0.023,0.39,,,,,,,0.018,0.14,-0.651,0.423,2.166,0.91,22.9,"description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.; description FOOTNOTE 3 Where web height-to-thickness ratio exceeds 260 or flange width-to-thickness ratio exceeds 60, effective properties are not calculated. See AISI S100 Section B1. Application of these products in a non-composite design shall be approved by a design professional."
550S125-27,0.0283,33,0.229,0.78,0.938,0.341,2.023,0.034,0.385,0.898,0.246,4.86,4.26,382,382,0.061,0.205,-0.641,0.417,2.157,0.912,27.9,
550S125-30,0.0312,33,0.252,0.86,1.031,0.375,2.021,0.037,0.384,0.996,0.286,5.65,4.95,512,512,0.082,0.224,-0.639,0.415,2.154,0.912,27.9,
550S125-33,0.0346,33,0.279,0.95,1.139,0.414,2.019,0.041,0.382,1.111,0.335,6.62,5.78,699,699,0.112,0.246,-0.635,0.413,2.151,0.913,27.8,
550S125-43,0.0451,33,0.362,1.23,1.468,0.534,2.013,0.052,0.377,1.458,0.5,9.88,8.61,1550,1199,0.246,0.309,-0.625,0.407,2.141,0.915,27.6,
550S125-54,0.0566,33,0.45,1.53,1.805,0.656,2.002,0.061,0.369,1.805,0.647,12.79,11.92,2739,1666,0.481,0.374,-0.613,0.401,2.126,0.917,27.3,
550S125-54,0.0566,50,0.45,1.53,1.805,0.656,2.002,0.061,0.369,1.791,0.606,18.13,15.75,3093,1881,0.481,0.374,-0.613,0.401,2.126,0.917,22.1,
550S125-68,0.0713,33,0.559,1.9,2.209,0.803,1.987,0.072,0.358,2.205,0.801,18.94,18.59,4347,2057,0.948,0.448,-0.597,0.392,2.106,0.92,24.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S125-68,0.0713,50,0.559,1.9,2.209,0.803,1.987,0.072,0.358,2.205,0.791,23.68,21.98,5350,2532,0.948,0.448,-0.597,0.392,2.106,0.92,21.8,
600S125-18,0.0188,33,0.162,0.55,0.778,0.259,2.189,0.024,0.382,,,,,,,0.019,0.172,-0.623,0.408,2.308,0.927,22.7,"description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.; description FOOTNOTE 3 Where web height-to-thickness ratio exceeds 260 or flange width-to-thickness ratio exceeds 60, effective properties are not calculated. See AISI S100 Section B1. Application of these products in a non-composite design shall be approved by a design professional."
600S125-27,0.0283,33,0.243,0.83,1.16,0.387,2.183,0.035,0.377,1.097,0.271,5.35,4.63,349,349,0.065,0.251,-0.614,0.402,2.299,0.929,27.7,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
600S125-30,0.0312,33,0.268,0.91,1.275,0.425,2.181,0.038,0.376,1.218,0.315,6.22,5.39,468,468,0.087,0.274,-0.611,0.401,2.296,0.929,27.6,
600S125-33,0.0346,33,0.297,1.01,1.409,0.47,2.179,0.042,0.374,1.361,0.369,7.3,6.32,638,638,0.118,0.3,-0.608,0.399,2.293,0.93,27.6,
600S125-43,0.0451,33,0.385,1.31,1.817,0.606,2.173,0.053,0.369,1.807,0.555,10.96,9.46,1416,1240,0.261,0.378,-0.598,0.393,2.284,0.931,27.3,
600S125-54,0.0566,33,0.479,1.63,2.236,0.745,2.161,0.063,0.362,2.236,0.727,14.37,13.18,2739,1890,0.511,0.457,-0.586,0.386,2.269,0.933,27.1,
600S125-54,0.0566,50,0.479,1.63,2.236,0.745,2.161,0.063,0.362,2.22,0.673,20.15,17.34,2823,1947,0.511,0.457,-0.586,0.386,2.269,0.933,21.9,
600S125-68,0.0713,33,0.595,2.02,2.74,0.913,2.146,0.073,0.351,2.735,0.911,21.53,20.65,4347,2339,1.008,0.548,-0.57,0.378,2.248,0.936,24.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S125-68,0.0713,50,0.595,2.02,2.74,0.913,2.146,0.073,0.351,2.735,0.898,26.88,24.34,5350,2879,1.008,0.548,-0.57,0.378,2.248,0.936,21.6,
800S125-33,0.0346,33,0.366,1.25,2.881,0.72,2.806,0.044,0.347,2.656,0.507,10.02,8.22,474,474,0.146,0.582,-0.519,0.349,2.875,0.967,26.6,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
800S125-43,0.0451,33,0.475,1.62,3.721,0.93,2.799,0.056,0.342,3.581,0.773,15.27,12.56,1051,1051,0.322,0.735,-0.51,0.344,2.865,0.968,26.3,
800S125-54,0.0566,33,0.592,2.01,4.593,1.148,2.786,0.066,0.335,4.566,1.035,20.46,17.87,2091,2091,0.632,0.889,-0.499,0.338,2.85,0.969,26,
800S125-54,0.0566,50,0.592,2.01,4.593,1.148,2.786,0.066,0.335,4.431,0.942,28.21,23.18,2091,2091,0.632,0.889,-0.499,0.338,2.85,0.969,21.1,
800S125-68,0.0713,33,0.738,2.51,5.653,1.413,2.768,0.078,0.324,5.644,1.375,27.18,25.21,4221,3367,1.25,1.068,-0.485,0.33,2.829,0.971,25.6,
800S125-68,0.0713,50,0.738,2.51,5.653,1.413,2.768,0.078,0.324,5.632,1.287,38.54,33.22,4221,3367,1.25,1.068,-0.485,0.33,2.829,0.971,20.8,
250S137-33,0.0346,33,0.197,0.67,0.203,0.163,1.015,0.052,0.515,0.203,0.158,3.11,3.1,975,399,0.079,0.076,-1.141,0.677,1.612,0.499,35.6,
250S137-43,0.0451,33,0.255,0.87,0.261,0.208,1.01,0.067,0.511,0.261,0.205,4.53,4.6,1265,394,0.173,0.096,-1.129,0.67,1.599,0.501,33.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S137-54,0.0566,33,0.316,1.07,0.318,0.255,1.004,0.08,0.504,0.318,0.255,5.76,5.75,1553,373,0.337,0.115,-1.115,0.663,1.583,0.504,33.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S137-54,0.0566,50,0.316,1.07,0.318,0.255,1.004,0.08,0.504,0.318,0.244,8.22,8.34,2353,565,0.337,0.115,-1.115,0.663,1.583,0.504,27.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S137-68,0.0713,33,0.39,1.33,0.386,0.309,0.994,0.095,0.495,0.386,0.309,7.19,7.19,1891,342,0.661,0.138,-1.096,0.653,1.561,0.507,33.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S137-68,0.0713,50,0.39,1.33,0.386,0.309,0.994,0.095,0.495,0.386,0.308,10.65,10.67,2866,519,0.661,0.138,-1.096,0.653,1.561,0.507,26.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S137-97,0.1017,33,0.533,1.81,0.506,0.405,0.975,0.12,0.475,0.506,0.405,10.01,10.01,2506,283,1.839,0.176,-1.057,0.633,1.514,0.513,33.1,
250S137-97,0.1017,50,0.533,1.81,0.506,0.405,0.975,0.12,0.475,0.506,0.405,14.75,14.75,3798,429,1.839,0.176,-1.057,0.633,1.514,0.513,26.5,
250S162-33,0.0346,33,0.223,0.76,0.235,0.188,1.027,0.087,0.624,0.235,0.18,3.55,3.56,975,399,0.089,0.146,-1.47,0.859,1.898,0.401,44.1,
250S162-43,0.0451,33,0.289,0.98,0.302,0.242,1.022,0.111,0.62,0.302,0.24,5.22,5.25,1265,394,0.196,0.184,-1.457,0.852,1.885,0.402,42.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S162-54,0.0566,33,0.358,1.22,0.37,0.296,1.016,0.135,0.613,0.37,0.296,6.57,6.57,1553,373,0.383,0.223,-1.443,0.845,1.868,0.403,41.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S162-54,0.0566,50,0.358,1.22,0.37,0.296,1.016,0.135,0.613,0.37,0.284,9.42,9.46,2353,565,0.383,0.223,-1.443,0.845,1.868,0.403,33.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S162-68,0.0713,33,0.443,1.51,0.45,0.36,1.007,0.162,0.605,0.45,0.36,8.21,8.21,1891,342,0.752,0.268,-1.424,0.835,1.846,0.405,41.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S162-68,0.0713,50,0.443,1.51,0.45,0.36,1.007,0.162,0.605,0.45,0.357,12.11,12.21,2866,519,0.752,0.268,-1.424,0.835,1.846,0.405,33.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
250S162-97,0.1017,33,0.61,2.07,0.596,0.477,0.989,0.209,0.586,0.596,0.477,11.45,11.45,2506,283,2.102,0.346,-1.386,0.815,1.801,0.408,41.9,
250S162-97,0.1017,50,0.61,2.07,0.596,0.477,0.989,0.209,0.586,0.596,0.477,16.93,16.93,3798,429,2.102,0.346,-1.386,0.815,1.801,0.408,33.5,
250S200-33,0.0346,33,0.258,0.88,0.279,0.223,1.04,0.154,0.773,0.276,0.197,3.9,4.09,975,399,0.103,0.302,-1.926,1.108,2.321,0.312,56,
250S200-43,0.0451,33,0.334,1.14,0.358,0.287,1.036,0.198,0.769,0.358,0.278,5.49,5.66,1265,394,0.227,0.382,-1.914,1.101,2.308,0.312,56.1,
250S200-54,0.0566,33,0.415,1.41,0.44,0.352,1.03,0.241,0.763,0.44,0.352,7.65,7.65,1553,373,0.443,0.464,-1.899,1.093,2.291,0.313,53.7,
250S200-54,0.0566,50,0.415,1.41,0.44,0.352,1.03,0.241,0.763,0.44,0.321,9.6,10.11,2353,565,0.443,0.464,-1.899,1.093,2.291,0.313,45.5,
250S200-68,0.0713,33,0.515,1.75,0.537,0.43,1.022,0.293,0.754,0.537,0.43,9.57,9.57,1891,342,0.872,0.561,-1.881,1.084,2.27,0.313,53.7,
250S200-68,0.0713,50,0.515,1.75,0.537,0.43,1.022,0.293,0.754,0.537,0.417,13.84,14.27,2866,519,0.872,0.561,-1.881,1.084,2.27,0.313,43.4,
250S200-97,0.1017,33,0.711,2.42,0.718,0.575,1.005,0.386,0.736,0.718,0.575,13.36,13.36,2506,283,2.452,0.735,-1.843,1.063,2.224,0.314,54.2,
250S200-97,0.1017,50,0.711,2.42,0.718,0.575,1.005,0.386,0.736,0.718,0.575,19.82,19.82,3798,429,2.452,0.735,-1.843,1.063,2.224,0.314,43.4,
250S250-43,0.0451,33,0.379,1.29,0.426,0.341,1.06,0.336,0.941,0.426,0.297,5.87,6.24,1265,394,0.257,0.638,-2.404,1.359,2.791,0.258,66.8,
250S250-54,0.0566,33,0.471,1.6,0.524,0.419,1.055,0.412,0.935,0.524,0.379,7.49,8.22,1553,373,0.503,0.778,-2.389,1.351,2.774,0.258,67.3,
250S250-54,0.0566,50,0.471,1.6,0.524,0.419,1.055,0.412,0.935,0.521,0.341,10.22,11.02,2353,565,0.503,0.778,-2.389,1.351,2.774,0.258,54.1,
250S250-68,0.0713,33,0.586,1.99,0.643,0.514,1.047,0.503,0.926,0.643,0.495,10.79,11.19,1891,342,0.993,0.944,-2.371,1.341,2.752,0.258,64.6,
250S250-68,0.0713,50,0.586,1.99,0.643,0.514,1.047,0.503,0.926,0.643,0.446,13.35,14.59,2866,519,0.993,0.944,-2.371,1.341,2.752,0.258,54.5,
250S250-97,0.1017,33,0.813,2.77,0.864,0.692,1.031,0.67,0.908,0.864,0.69,15.6,15.62,2506,283,2.803,1.245,-2.332,1.32,2.707,0.258,65.6,
250S250-97,0.1017,50,0.813,2.77,0.864,0.692,1.031,0.67,0.908,0.864,0.663,22.31,23.26,3798,429,2.803,1.245,-2.332,1.32,2.707,0.258,52.4,
350S137-33,0.0346,33,0.232,0.79,0.441,0.252,1.38,0.059,0.503,0.441,0.223,4.41,4.54,1024,487,0.093,0.153,-1.016,0.621,1.786,0.676,34.8,
350S137-43,0.0451,33,0.3,1.02,0.568,0.324,1.375,0.075,0.498,0.568,0.307,6.07,6.38,1739,631,0.204,0.193,-1.005,0.615,1.774,0.679,34.7,
350S137-54,0.0566,33,0.372,1.27,0.696,0.398,1.367,0.09,0.492,0.696,0.385,7.61,7.86,2253,633,0.398,0.233,-0.991,0.607,1.759,0.683,34.7,
350S137-54,0.0566,50,0.372,1.27,0.696,0.398,1.367,0.09,0.492,0.696,0.366,10.95,11.42,3372,947,0.398,0.233,-0.991,0.607,1.759,0.683,28,
350S137-68,0.0713,33,0.461,1.57,0.849,0.485,1.357,0.107,0.482,0.849,0.474,11.04,11.31,2774,592,0.782,0.28,-0.973,0.598,1.738,0.687,31.8,
350S137-68,0.0713,50,0.461,1.57,0.849,0.485,1.357,0.107,0.482,0.849,0.472,14.12,14.53,4202,897,0.782,0.28,-0.973,0.598,1.738,0.687,27.9,
350S137-97,0.1017,33,0.635,2.16,1.13,0.646,1.334,0.136,0.462,1.13,0.629,15.54,15.95,3765,511,2.189,0.361,-0.935,0.579,1.693,0.695,31.1,
350S137-97,0.1017,50,0.635,2.16,1.13,0.646,1.334,0.136,0.462,1.13,0.629,22.9,23.49,5704,775,2.189,0.361,-0.935,0.579,1.693,0.695,25.2,
350S162-33,0.0346,33,0.258,0.88,0.508,0.29,1.404,0.098,0.617,0.508,0.257,5.08,5.22,1024,487,0.103,0.277,-1.324,0.796,2.026,0.573,42.7,
350S162-43,0.0451,33,0.334,1.14,0.654,0.374,1.4,0.125,0.612,0.654,0.357,7.05,7.31,1739,631,0.227,0.35,-1.312,0.789,2.014,0.575,42.6,
350S162-54,0.0566,33,0.415,1.41,0.804,0.46,1.392,0.152,0.606,0.804,0.447,8.83,9.08,2253,633,0.443,0.426,-1.298,0.782,1.998,0.578,42.7,
350S162-54,0.0566,50,0.415,1.41,0.804,0.46,1.392,0.152,0.606,0.804,0.426,12.74,13.05,3372,947,0.443,0.426,-1.298,0.782,1.998,0.578,34.5,
350S162-68,0.0713,33,0.515,1.75,0.985,0.563,1.383,0.184,0.597,0.985,0.551,12.56,12.83,2774,592,0.872,0.514,-1.28,0.772,1.977,0.581,39.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
350S162-68,0.0713,50,0.515,1.75,0.985,0.563,1.383,0.184,0.597,0.985,0.549,16.44,16.84,4202,897,0.872,0.514,-1.28,0.772,1.977,0.581,34.5,
350S162-97,0.1017,33,0.711,2.42,1.32,0.754,1.362,0.238,0.578,1.32,0.738,17.71,18.11,3765,511,2.452,0.672,-1.242,0.752,1.932,0.587,39.1,
350S162-97,0.1017,50,0.711,2.42,1.32,0.754,1.362,0.238,0.578,1.32,0.738,26.18,26.76,5704,775,2.452,0.672,-1.242,0.752,1.932,0.587,31.7,
350S200-33,0.0346,33,0.292,0.99,0.598,0.342,1.431,0.175,0.773,0.597,0.283,5.59,5.95,1024,487,0.117,0.541,-1.76,1.039,2.396,0.461,53.7,
350S200-43,0.0451,33,0.379,1.29,0.771,0.441,1.426,0.224,0.768,0.771,0.41,8.09,8.36,1739,631,0.257,0.687,-1.748,1.032,2.383,0.462,53.7,
350S200-54,0.0566,33,0.471,1.6,0.95,0.543,1.42,0.274,0.762,0.95,0.53,10.47,10.73,2253,633,0.503,0.838,-1.733,1.024,2.367,0.464,53.8,
350S200-54,0.0566,50,0.471,1.6,0.95,0.543,1.42,0.274,0.762,0.95,0.47,14.07,14.86,3372,947,0.503,0.838,-1.733,1.024,2.367,0.464,43.5,
350S200-68,0.0713,33,0.586,1.99,1.167,0.667,1.411,0.333,0.754,1.167,0.655,14.58,14.84,2774,592,0.993,1.018,-1.715,1.014,2.345,0.465,50.8,
350S200-68,0.0713,50,0.586,1.99,1.167,0.667,1.411,0.333,0.754,1.167,0.638,19.1,19.68,4202,897,0.993,1.018,-1.715,1.014,2.345,0.465,43.5,
350S200-97,0.1017,33,0.813,2.77,1.576,0.901,1.393,0.44,0.736,1.576,0.884,20.57,20.95,3765,511,2.803,1.347,-1.676,0.994,2.3,0.469,50.3,
350S200-97,0.1017,50,0.813,2.77,1.576,0.901,1.393,0.44,0.736,1.576,0.884,30.51,31.08,5704,775,2.803,1.347,-1.676,0.994,2.3,0.469,40.7,
350S250-43,0.0451,33,0.424,1.44,0.906,0.518,1.461,0.38,0.946,0.906,0.431,8.52,9,1739,631,0.288,1.151,-2.22,1.286,2.821,0.381,64.3,
350S250-54,0.0566,33,0.528,1.8,1.118,0.639,1.455,0.467,0.94,1.118,0.559,11.04,11.98,2253,633,0.564,1.409,-2.205,1.278,2.804,0.382,64.5,
350S250-54,0.0566,50,0.528,1.8,1.118,0.639,1.455,0.467,0.94,1.113,0.494,14.78,15.92,3372,947,0.564,1.409,-2.205,1.278,2.804,0.382,52.1,
350S250-68,0.0713,33,0.657,2.24,1.376,0.787,1.447,0.57,0.931,1.376,0.739,16.1,16.99,2774,592,1.114,1.718,-2.186,1.268,2.782,0.383,61.6,
350S250-68,0.0713,50,0.657,2.24,1.376,0.787,1.447,0.57,0.931,1.376,0.661,19.78,21.31,4202,897,1.114,1.718,-2.186,1.268,2.782,0.383,52.2,
