description,design_thickness,Fy,area,weight,Ix,Sx,Rx,Iy,Ry,Ixe,Sxe,Mal,Mad,Vag,Vanet,J,Cw,Xo,m,Ro,Beta,Lu,notes
350S250-97,0.1017,33,0.915,3.11,1.87,1.069,1.43,0.762,0.913,1.87,1.05,23.72,24.14,3765,511,3.154,2.291,-2.147,1.248,2.736,0.384,61.4,
350S250-97,0.1017,50,0.915,3.11,1.87,1.069,1.43,0.762,0.913,1.87,0.998,33.58,35.43,5704,775,3.154,2.291,-2.147,1.248,2.736,0.384,49.5,
362S137-33,0.0346,33,0.236,0.8,0.479,0.264,1.424,0.059,0.501,0.479,0.232,4.59,4.73,1024,521,0.094,0.165,-1.003,0.615,1.813,0.694,34.7,
362S137-43,0.0451,33,0.306,1.04,0.616,0.34,1.419,0.075,0.497,0.616,0.32,6.32,6.65,1739,676,0.207,0.208,-0.991,0.608,1.801,0.697,34.6,
362S137-54,0.0566,33,0.379,1.29,0.756,0.417,1.411,0.091,0.49,0.756,0.402,7.94,8.24,2341,705,0.405,0.251,-0.978,0.601,1.785,0.7,34.6,
362S137-54,0.0566,50,0.379,1.29,0.756,0.417,1.411,0.091,0.49,0.756,0.381,11.42,11.91,3372,1016,0.405,0.251,-0.978,0.601,1.785,0.7,27.9,
362S137-68,0.0713,33,0.47,1.6,0.922,0.509,1.401,0.109,0.48,0.922,0.498,9.84,10.05,2884,662,0.797,0.302,-0.959,0.592,1.764,0.704,34.6,
362S137-68,0.0713,50,0.47,1.6,0.922,0.509,1.401,0.109,0.48,0.922,0.493,14.77,15.24,4370,1004,0.797,0.302,-0.959,0.592,1.764,0.704,27.8,
362S137-97,0.1017,33,0.648,2.2,1.229,0.678,1.377,0.137,0.46,1.229,0.662,16.36,16.75,3922,577,2.233,0.39,-0.922,0.573,1.72,0.713,30.9,
362S137-97,0.1017,50,0.648,2.2,1.229,0.678,1.377,0.137,0.46,1.229,0.662,24.1,24.67,5943,875,2.233,0.39,-0.922,0.573,1.72,0.713,25.1,
362S162-33,0.0346,33,0.262,0.89,0.551,0.304,1.45,0.099,0.616,0.551,0.268,5.29,5.43,1024,521,0.105,0.297,-1.308,0.789,2.048,0.592,42.6,
362S162-43,0.0451,33,0.34,1.16,0.71,0.392,1.445,0.127,0.611,0.71,0.372,7.34,7.62,1739,676,0.23,0.376,-1.297,0.782,2.036,0.594,42.5,
362S162-54,0.0566,33,0.422,1.44,0.873,0.481,1.438,0.154,0.604,0.873,0.466,9.22,9.51,2341,705,0.451,0.457,-1.283,0.774,2.02,0.597,42.5,
362S162-54,0.0566,50,0.422,1.44,0.873,0.481,1.438,0.154,0.604,0.873,0.444,13.28,13.59,3372,1016,0.451,0.457,-1.283,0.774,2.02,0.597,34.4,
362S162-68,0.0713,33,0.524,1.78,1.069,0.59,1.429,0.186,0.596,1.069,0.579,11.43,11.65,2884,662,0.887,0.552,-1.264,0.765,1.998,0.6,42.7,
362S162-68,0.0713,50,0.524,1.78,1.069,0.59,1.429,0.186,0.596,1.069,0.574,17.18,17.65,4370,1004,0.887,0.552,-1.264,0.765,1.998,0.6,34.3,
362S162-97,0.1017,33,0.724,2.46,1.435,0.792,1.408,0.241,0.577,1.435,0.776,18.62,19,3922,577,2.496,0.723,-1.226,0.745,1.954,0.606,38.9,
362S162-97,0.1017,50,0.724,2.46,1.435,0.792,1.408,0.241,0.577,1.435,0.776,27.52,28.08,5943,875,2.496,0.723,-1.226,0.745,1.954,0.606,31.5,
362S200-33,0.0346,33,0.297,1.01,0.648,0.358,1.478,0.177,0.772,0.647,0.294,5.81,6.19,1024,521,0.118,0.577,-1.741,1.03,2.411,0.478,53.6,
362S200-43,0.0451,33,0.385,1.31,0.836,0.461,1.474,0.227,0.767,0.836,0.427,8.43,8.7,1739,676,0.261,0.734,-1.729,1.024,2.398,0.48,53.5,
362S200-54,0.0566,33,0.479,1.63,1.03,0.568,1.467,0.277,0.761,1.03,0.553,10.93,11.23,2341,705,0.511,0.896,-1.715,1.016,2.382,0.482,53.6,
362S200-54,0.0566,50,0.479,1.63,1.03,0.568,1.467,0.277,0.761,1.03,0.49,14.66,15.47,3372,1016,0.511,0.896,-1.715,1.016,2.382,0.482,43.3,
362S200-68,0.0713,33,0.595,2.02,1.265,0.698,1.458,0.337,0.753,1.265,0.687,15.29,15.54,2884,662,1.008,1.089,-1.696,1.006,2.36,0.484,50.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
362S200-68,0.0713,50,0.595,2.02,1.265,0.698,1.458,0.337,0.753,1.265,0.666,19.95,20.51,4370,1004,1.008,1.089,-1.696,1.006,2.36,0.484,43.3,
362S200-97,0.1017,33,0.826,2.81,1.711,0.944,1.44,0.446,0.735,1.711,0.928,21.59,21.95,3922,577,2.847,1.441,-1.658,0.986,2.315,0.487,50,
362S200-97,0.1017,50,0.826,2.81,1.711,0.944,1.44,0.446,0.735,1.711,0.928,32.03,32.57,5943,875,2.847,1.441,-1.658,0.986,2.315,0.487,40.5,
362S250-43,0.0451,33,0.43,1.46,0.98,0.541,1.51,0.385,0.946,0.98,0.449,8.88,9.35,1739,676,0.292,1.23,-2.199,1.277,2.83,0.396,64.2,
362S250-54,0.0566,33,0.535,1.82,1.21,0.668,1.504,0.473,0.94,1.21,0.582,11.51,12.46,2341,705,0.571,1.506,-2.184,1.269,2.813,0.397,64.3,
362S250-54,0.0566,50,0.535,1.82,1.21,0.668,1.504,0.473,0.94,1.205,0.514,15.4,16.54,3372,1016,0.571,1.506,-2.184,1.269,2.813,0.397,52,
362S250-68,0.0713,33,0.666,2.27,1.49,0.822,1.496,0.578,0.931,1.49,0.774,16.85,17.68,2884,662,1.129,1.837,-2.165,1.259,2.791,0.398,61.4,
362S250-68,0.0713,50,0.666,2.27,1.49,0.822,1.496,0.578,0.931,1.49,0.689,20.63,22.17,4370,1004,1.129,1.837,-2.165,1.259,2.791,0.398,52,
362S250-97,0.1017,33,0.927,3.16,2.027,1.118,1.478,0.772,0.912,2.027,1.1,24.85,25.26,3922,577,3.197,2.452,-2.126,1.239,2.746,0.4,61,
362S250-97,0.1017,50,0.927,3.16,2.027,1.118,1.478,0.772,0.912,2.027,1.046,35.17,36.93,5943,875,3.197,2.452,-2.126,1.239,2.746,0.4,49.3,
362S300-54,0.0566,33,0.592,2.01,1.39,0.767,1.533,0.734,1.114,1.383,0.607,11.99,13.22,2341,705,0.632,2.316,-2.659,1.522,3.265,0.337,74.5,
362S300-54,0.0566,50,0.592,2.01,1.39,0.767,1.533,0.734,1.114,1.312,0.529,15.83,17.34,3372,1016,0.632,2.316,-2.659,1.522,3.265,0.337,60.2,
362S300-68,0.0713,33,0.738,2.51,1.716,0.947,1.525,0.9,1.105,1.716,0.811,16.02,17.65,2884,662,1.25,2.833,-2.64,1.512,3.243,0.337,74.9,
362S300-68,0.0713,50,0.738,2.51,1.716,0.947,1.525,0.9,1.105,1.684,0.716,21.44,23.42,4370,1004,1.25,2.833,-2.64,1.512,3.243,0.337,60.4,
362S300-97,0.1017,33,1.029,3.5,2.343,1.292,1.509,1.213,1.086,2.343,1.217,26.95,28.61,3922,577,3.548,3.803,-2.6,1.491,3.196,0.338,71.6,
362S300-97,0.1017,50,1.029,3.5,2.343,1.292,1.509,1.213,1.086,2.32,1.15,34.42,36.41,5943,875,3.548,3.803,-2.6,1.491,3.196,0.338,60.9,
400S137-33,0.0346,33,0.249,0.85,0.603,0.301,1.556,0.061,0.496,0.603,0.259,5.12,5.29,976,595,0.099,0.204,-0.965,0.597,1.897,0.741,34.5,
400S137-43,0.0451,33,0.323,1.1,0.776,0.388,1.551,0.078,0.491,0.776,0.359,7.09,7.47,1739,810,0.219,0.257,-0.954,0.591,1.885,0.744,34.3,
400S137-54,0.0566,50,0.401,1.36,0.953,0.477,1.542,0.094,0.484,0.953,0.428,12.82,13.38,3372,1223,0.428,0.311,-0.94,0.583,1.87,0.747,27.7,
400S137-68,0.0713,33,0.497,1.69,1.165,0.582,1.531,0.112,0.475,1.165,0.567,11.21,11.51,3215,895,0.842,0.375,-0.922,0.574,1.849,0.751,34.2,
400S137-68,0.0713,50,0.497,1.69,1.165,0.582,1.531,0.112,0.475,1.165,0.558,16.7,17.44,4871,1356,0.842,0.375,-0.922,0.574,1.849,0.751,27.6,
400S137-97,0.1017,33,0.686,2.33,1.557,0.779,1.507,0.142,0.454,1.557,0.764,18.88,19.23,4394,797,2.365,0.486,-0.885,0.555,1.806,0.76,30.5,
400S137-97,0.1017,50,0.686,2.33,1.557,0.779,1.507,0.142,0.454,1.557,0.764,27.81,28.33,6658,1207,2.365,0.486,-0.885,0.555,1.806,0.76,24.8,
400S162-33,0.0346,33,0.275,0.94,0.692,0.346,1.586,0.103,0.611,0.692,0.299,5.91,6.07,976,595,0.11,0.363,-1.263,0.768,2.118,0.644,42.3,
400S162-43,0.0451,33,0.357,1.21,0.892,0.446,1.581,0.131,0.606,0.892,0.417,8.23,8.54,1739,810,0.242,0.46,-1.252,0.761,2.106,0.647,42.2,
400S162-54,0.0566,33,0.443,1.51,1.098,0.549,1.574,0.159,0.6,1.098,0.526,10.39,10.84,2603,944,0.473,0.56,-1.238,0.754,2.09,0.649,42.2,
400S162-54,0.0566,50,0.443,1.51,1.098,0.549,1.574,0.159,0.6,1.098,0.498,14.9,15.25,3372,1223,0.473,0.56,-1.238,0.754,2.09,0.649,34.1,
400S162-68,0.0713,33,0.55,1.87,1.346,0.673,1.564,0.192,0.591,1.346,0.658,13,13.3,3215,895,0.933,0.677,-1.22,0.745,2.069,0.653,42.2,
400S162-68,0.0713,50,0.55,1.87,1.346,0.673,1.564,0.192,0.591,1.346,0.648,19.41,20.15,4871,1356,0.933,0.677,-1.22,0.745,2.069,0.653,34,
400S162-97,0.1017,33,0.762,2.59,1.812,0.906,1.542,0.249,0.572,1.812,0.892,21.4,21.75,4394,797,2.628,0.889,-1.182,0.725,2.025,0.659,38.3,
400S162-97,0.1017,50,0.762,2.59,1.812,0.906,1.542,0.249,0.572,1.812,0.892,31.64,32.15,6658,1207,2.628,0.889,-1.182,0.725,2.025,0.659,31.1,
400S200-33,0.0346,33,0.31,1.05,0.812,0.406,1.619,0.183,0.769,0.812,0.328,6.49,6.9,976,595,0.124,0.697,-1.688,1.007,2.462,0.53,53.1,
400S200-43,0.0451,33,0.402,1.37,1.047,0.524,1.615,0.235,0.764,1.047,0.478,9.45,9.74,1739,810,0.272,0.886,-1.676,1,2.449,0.532,53,
400S200-54,0.0566,33,0.5,1.7,1.292,0.646,1.608,0.287,0.758,1.292,0.623,12.3,12.77,2603,944,0.534,1.083,-1.662,0.993,2.433,0.534,53,
400S200-54,0.0566,50,0.5,1.7,1.292,0.646,1.608,0.287,0.758,1.292,0.549,16.43,17.31,3372,1223,0.534,1.083,-1.662,0.993,2.433,0.534,42.9,
400S200-68,0.0713,33,0.622,2.12,1.589,0.795,1.599,0.349,0.75,1.589,0.78,15.4,15.7,3215,895,1.054,1.318,-1.643,0.983,2.412,0.536,53.2,
400S200-68,0.0713,50,0.622,2.12,1.589,0.795,1.599,0.349,0.75,1.589,0.751,22.48,23.04,4871,1356,1.054,1.318,-1.643,0.983,2.412,0.536,42.9,
400S200-97,0.1017,33,0.864,2.94,2.155,1.077,1.579,0.462,0.731,2.155,1.063,24.72,25.05,4394,797,2.978,1.749,-1.605,0.963,2.368,0.54,49.3,
400S200-97,0.1017,50,0.864,2.94,2.155,1.077,1.579,0.462,0.731,2.155,1.063,36.68,37.17,6658,1207,2.978,1.749,-1.605,0.963,2.368,0.54,39.9,
400S250-43,0.0451,33,0.447,1.52,1.224,0.612,1.655,0.399,0.945,1.224,0.503,9.93,10.41,1739,810,0.303,1.486,-2.139,1.252,2.864,0.443,63.7,
400S250-54,0.0566,33,0.556,1.89,1.512,0.756,1.649,0.49,0.938,1.512,0.653,12.9,13.91,2603,944,0.594,1.821,-2.124,1.244,2.848,0.444,63.8,
400S250-54,0.0566,50,0.556,1.89,1.512,0.756,1.649,0.49,0.938,1.506,0.576,17.24,18.42,3372,1223,0.594,1.821,-2.124,1.244,2.848,0.444,51.6,
400S250-68,0.0713,33,0.693,2.36,1.864,0.932,1.64,0.599,0.929,1.864,0.883,17.45,18.42,3215,895,1.174,2.225,-2.105,1.235,2.826,0.445,64,
400S250-68,0.0713,50,0.693,2.36,1.864,0.932,1.64,0.599,0.929,1.864,0.775,23.19,24.76,4871,1356,1.174,2.225,-2.105,1.235,2.826,0.445,51.6,
400S250-97,0.1017,33,0.966,3.29,2.541,1.271,1.622,0.801,0.911,2.541,1.253,28.31,28.7,4394,797,3.329,2.978,-2.066,1.214,2.78,0.448,60.3,
400S250-97,0.1017,50,0.966,3.29,2.541,1.271,1.622,0.801,0.911,2.541,1.191,40.06,41.47,6658,1207,3.329,2.978,-2.066,1.214,2.78,0.448,48.8,
400S300-54,0.0566,33,0.613,2.09,1.732,0.866,1.681,0.76,1.114,1.723,0.68,13.44,14.7,2603,944,0.655,2.802,-2.594,1.496,3.285,0.377,74,
400S300-54,0.0566,50,0.613,2.09,1.732,0.866,1.681,0.76,1.114,1.637,0.592,17.72,19.25,3372,1223,0.655,2.802,-2.594,1.496,3.285,0.377,59.9,
400S300-68,0.0713,33,0.764,2.6,2.139,1.07,1.673,0.933,1.105,2.139,0.914,18.06,19.68,3215,895,1.295,3.432,-2.574,1.486,3.263,0.378,74.3,
400S300-68,0.0713,50,0.764,2.6,2.139,1.07,1.673,0.933,1.105,2.099,0.805,24.09,26.05,4871,1356,1.295,3.432,-2.574,1.486,3.263,0.378,60,
400S300-97,0.1017,33,1.067,3.63,2.928,1.464,1.656,1.258,1.086,2.928,1.381,30.58,32.4,4394,797,3.679,4.619,-2.535,1.465,3.216,0.379,70.8,
400S300-97,0.1017,50,1.067,3.63,2.928,1.464,1.656,1.258,1.086,2.897,1.307,39.12,40.72,6658,1207,3.679,4.619,-2.535,1.465,3.216,0.379,60.3,
550S137-33,0.0346,33,0.301,1.02,1.283,0.467,2.064,0.067,0.472,1.283,0.453,8.95,7.48,699,699,0.12,0.411,-0.841,0.536,2.278,0.864,33.7,
550S137-43,0.0451,33,0.391,1.33,1.655,0.602,2.059,0.085,0.467,1.655,0.592,13.08,11.6,1550,1199,0.265,0.52,-0.83,0.53,2.268,0.866,31.7,
550S137-54,0.0566,33,0.486,1.65,2.039,0.741,2.049,0.103,0.46,2.039,0.741,16.77,15.9,2739,1666,0.519,0.632,-0.817,0.523,2.254,0.868,31.1,
550S137-54,0.0566,50,0.486,1.65,2.039,0.741,2.049,0.103,0.46,2.039,0.714,24.03,20.88,3093,1881,0.519,0.632,-0.817,0.523,2.254,0.868,25.4,
550S137-68,0.0713,33,0.604,2.05,2.503,0.91,2.036,0.123,0.451,2.503,0.91,21.22,21.22,4347,2057,1.023,0.764,-0.801,0.514,2.234,0.871,30.4,
550S137-68,0.0713,50,0.604,2.05,2.503,0.91,2.036,0.123,0.451,2.503,0.909,31.42,28.89,5350,2532,1.023,0.764,-0.801,0.514,2.234,0.871,24.9,
550S137-97,0.1017,33,0.838,2.85,3.38,1.229,2.008,0.155,0.43,3.38,1.229,30.35,30.35,6282,1997,2.891,0.997,-0.766,0.497,2.192,0.878,29.2,
550S137-97,0.1017,50,0.838,2.85,3.38,1.229,2.008,0.155,0.43,3.38,1.229,44.72,44.72,9518,3026,2.891,0.997,-0.766,0.497,2.192,0.878,23.9,
550S162-33,0.0346,33,0.327,1.11,1.458,0.53,2.112,0.113,0.589,1.458,0.512,10.11,8.63,699,699,0.13,0.713,-1.114,0.697,2.459,0.795,41.4,
550S162-43,0.0451,33,0.424,1.44,1.883,0.685,2.107,0.145,0.584,1.883,0.681,14.79,13.14,1550,1199,0.288,0.905,-1.103,0.691,2.448,0.797,39.2,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S162-54,0.0566,33,0.528,1.8,2.324,0.845,2.098,0.176,0.577,2.324,0.845,18.76,17.87,2739,1666,0.564,1.105,-1.09,0.684,2.434,0.8,38.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S162-54,0.0566,50,0.528,1.8,2.324,0.845,2.098,0.176,0.577,2.324,0.811,26.86,23.52,3093,1881,0.564,1.105,-1.09,0.684,2.434,0.8,31.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S162-68,0.0713,33,0.657,2.24,2.861,1.04,2.086,0.212,0.568,2.861,1.04,23.72,23.72,4347,2057,1.114,1.342,-1.072,0.675,2.414,0.803,38,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S162-68,0.0713,50,0.657,2.24,2.861,1.04,2.086,0.212,0.568,2.861,1.031,34.94,32.28,5350,2532,1.114,1.342,-1.072,0.675,2.414,0.803,31.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
550S162-97,0.1017,33,0.915,3.11,3.886,1.413,2.061,0.276,0.549,3.886,1.413,33.91,33.91,6282,1997,3.154,1.775,-1.037,0.656,2.372,0.809,36.8,
550S162-97,0.1017,50,0.915,3.11,3.886,1.413,2.061,0.276,0.549,3.886,1.413,50.13,50.13,9518,3026,3.154,1.775,-1.037,0.656,2.372,0.809,30,
550S200-33,0.0346,33,0.362,1.23,1.694,0.616,2.164,0.204,0.751,1.678,0.559,11.05,9.8,699,699,0.144,1.326,-1.508,0.925,2.742,0.698,51.9,
550S200-43,0.0451,33,0.469,1.6,2.189,0.796,2.159,0.261,0.746,2.189,0.776,15.33,13.96,1550,1199,0.318,1.691,-1.496,0.918,2.731,0.7,51.7,
550S200-54,0.0566,33,0.585,1.99,2.706,0.984,2.152,0.32,0.739,2.706,0.984,21.41,19.98,2739,1666,0.624,2.072,-1.483,0.911,2.716,0.702,49.2,
550S200-54,0.0566,50,0.585,1.99,2.706,0.984,2.152,0.32,0.739,2.706,0.901,26.98,24.84,3093,1881,0.624,2.072,-1.483,0.911,2.716,0.702,41.8,
550S200-68,0.0713,33,0.729,2.48,3.341,1.215,2.141,0.389,0.731,3.341,1.215,27.03,27.03,4347,2057,1.235,2.531,-1.465,0.902,2.695,0.705,48.5,
550S200-68,0.0713,50,0.729,2.48,3.341,1.215,2.141,0.389,0.731,3.341,1.17,38.83,35.92,5350,2532,1.235,2.531,-1.465,0.902,2.695,0.705,39.6,
550S200-97,0.1017,33,1.016,3.46,4.563,1.659,2.119,0.515,0.712,4.563,1.659,38.58,38.58,6282,1997,3.504,3.384,-1.428,0.882,2.652,0.71,47.4,
550S200-97,0.1017,50,1.016,3.46,4.563,1.659,2.119,0.515,0.712,4.563,1.659,57.25,57.25,9518,3026,3.504,3.384,-1.428,0.882,2.652,0.71,38.6,
550S250-43,0.0451,33,0.515,1.75,2.524,0.918,2.215,0.445,0.93,2.524,0.817,16.15,14.74,1550,1199,0.349,2.837,-1.933,1.163,3.083,0.607,62.6,
550S250-54,0.0566,33,0.641,2.18,3.126,1.137,2.208,0.547,0.923,3.126,1.033,20.4,19.87,2739,1666,0.685,3.486,-1.919,1.155,3.067,0.609,62.6,
550S250-54,0.0566,50,0.641,2.18,3.126,1.137,2.208,0.547,0.923,3.084,0.95,28.44,26.11,3093,1881,0.685,3.486,-1.919,1.155,3.067,0.609,50.7,
550S250-68,0.0713,33,0.8,2.72,3.866,1.406,2.198,0.669,0.914,3.866,1.345,29.28,28.52,4347,2057,1.356,4.274,-1.9,1.146,3.046,0.611,59.5,
550S250-68,0.0713,50,0.8,2.72,3.866,1.406,2.198,0.669,0.914,3.864,1.233,36.91,35.43,5350,2532,1.356,4.274,-1.9,1.146,3.046,0.611,50.6,
550S250-97,0.1017,33,1.118,3.8,5.304,1.929,2.178,0.897,0.895,5.304,1.925,43.47,43.57,6282,1997,3.855,5.761,-1.862,1.126,3.002,0.615,58.4,
550S250-97,0.1017,50,1.118,3.8,5.304,1.929,2.178,0.897,0.895,5.304,1.837,61.77,60.32,9518,3026,3.855,5.761,-1.862,1.126,3.002,0.615,47.6,
600S137-33,0.0346,33,0.318,1.08,1.582,0.527,2.229,0.069,0.464,1.548,0.455,8.98,8.19,638,638,0.127,0.5,-0.807,0.519,2.416,0.889,33.5,
600S137-43,0.0451,33,0.413,1.41,2.042,0.681,2.223,0.087,0.459,2.041,0.645,12.74,11.82,1416,1240,0.28,0.633,-0.796,0.513,2.406,0.89,33.3,
600S137-54,0.0566,33,0.514,1.75,2.518,0.839,2.213,0.105,0.452,2.518,0.832,16.44,15.95,2739,1890,0.549,0.769,-0.784,0.506,2.391,0.893,33,
600S137-54,0.0566,50,0.514,1.75,2.518,0.839,2.213,0.105,0.452,2.518,0.777,23.26,21.24,2823,1947,0.549,0.769,-0.784,0.506,2.391,0.893,26.8,
600S137-68,0.0713,33,0.64,2.18,3.094,1.031,2.2,0.125,0.443,3.094,1.031,24.05,24.05,4347,2339,1.084,0.93,-0.768,0.497,2.371,0.895,30.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S137-68,0.0713,50,0.64,2.18,3.094,1.031,2.2,0.125,0.443,3.094,1.03,30.84,28.89,5350,2879,1.084,0.93,-0.768,0.497,2.371,0.895,26.5,
600S137-97,0.1017,33,0.889,3.03,4.188,1.396,2.17,0.159,0.422,4.188,1.396,34.48,34.49,6911,2512,3.066,1.216,-0.734,0.48,2.33,0.901,28.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S137-97,0.1017,50,0.889,3.03,4.188,1.396,2.17,0.159,0.422,4.188,1.396,50.80,50.8,10472,3805,3.066,1.216,-0.734,0.48,2.33,0.901,23.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S137-118,0.1242,33,1.065,3.62,4.913,1.638,2.147,0.176,0.406,4.913,1.638,42.05,42.05,8267,2391,5.477,1.391,-0.709,0.467,2.298,0.905,27.9,
600S137-118,0.1242,50,1.065,3.62,4.913,1.638,2.147,0.176,0.406,4.913,1.638,61.69,61.69,12526,3622,5.477,1.391,-0.709,0.467,2.298,0.905,22.9,
600S162-33,0.0346,33,0.344,1.17,1.793,0.598,2.282,0.116,0.581,1.793,0.577,11.41,9.47,638,638,0.137,0.861,-1.072,0.677,2.587,0.828,41.1,
600S162-43,0.0451,33,0.447,1.52,2.316,0.772,2.276,0.148,0.576,2.316,0.767,16.68,14.46,1416,1240,0.303,1.095,-1.062,0.67,2.577,0.83,39,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-54,0.0566,33,0.556,1.89,2.86,0.953,2.267,0.18,0.57,2.86,0.953,21.17,19.75,2739,1890,0.594,1.337,-1.049,0.663,2.562,0.832,38.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-54,0.0566,50,0.556,1.89,2.86,0.953,2.267,0.18,0.57,2.86,0.916,30.33,25.9,2823,1947,0.594,1.337,-1.049,0.663,2.562,0.832,31.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-68,0.0713,33,0.693,2.36,3.525,1.175,2.255,0.218,0.56,3.525,1.175,26.79,26.78,4347,2339,1.174,1.626,-1.032,0.655,2.543,0.835,37.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-68,0.0713,50,0.693,2.36,3.525,1.175,2.255,0.218,0.56,3.525,1.164,39.47,35.69,5350,2879,1.174,1.626,-1.032,0.655,2.543,0.835,30.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-97,0.1017,33,0.966,3.29,4.797,1.599,2.229,0.283,0.541,4.797,1.599,38.37,38.37,6911,2512,3.329,2.153,-0.997,0.636,2.501,0.841,36.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-97,0.1017,50,0.966,3.29,4.797,1.599,2.229,0.283,0.541,4.797,1.599,56.73,56.72,10472,3805,3.329,2.153,-0.997,0.636,2.501,0.841,29.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-118,0.1242,33,1.158,3.94,5.652,1.884,2.209,0.321,0.526,5.652,1.884,46.82,46.82,8267,2391,5.956,2.487,-0.971,0.623,2.47,0.845,35.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S162-118,0.1242,50,1.158,3.94,5.652,1.884,2.209,0.321,0.526,5.652,1.884,68.94,68.93,12526,3622,5.956,2.487,-0.971,0.623,2.47,0.845,29.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S200-33,0.0346,33,0.379,1.29,2.075,0.692,2.34,0.209,0.743,2.058,0.621,12.28,10.77,638,638,0.151,1.593,-1.457,0.901,2.855,0.74,51.6,
600S200-43,0.0451,33,0.492,1.67,2.683,0.894,2.335,0.268,0.739,2.683,0.873,17.24,15.39,1416,1240,0.334,2.033,-1.446,0.894,2.844,0.742,51.4,
600S200-54,0.0566,33,0.613,2.09,3.319,1.106,2.327,0.328,0.732,3.319,1.106,24.07,22.07,2739,1890,0.655,2.493,-1.432,0.887,2.829,0.744,48.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S200-54,0.0566,50,0.613,2.09,3.319,1.106,2.327,0.328,0.732,3.319,1.015,30.4,27.38,2823,1947,0.655,2.493,-1.432,0.887,2.829,0.744,41.6,
600S200-68,0.0713,33,0.764,2.6,4.101,1.367,2.316,0.4,0.723,4.101,1.367,30.42,29.97,4347,2339,1.295,3.047,-1.415,0.878,2.809,0.746,48.2,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
